,date,home_team,away_team,score,odd_1,odd_N,odd_2,winner,league_season,game_url
0,19.05.2001,Charlton,Liverpool,0:4,3.60,3.60,1.70,2.0,premier-league-2000-2001,/soccer/england/premier-league-2000-2001/charlton-liverpool/OG9k7hrA/
1,19.05.2001,Coventry,Bradford City,0:0,1.79,3.30,3.80,1.0,premier-league-2000-2001,/soccer/england/premier-league-2000-2001/coventry-bradford-city/6uaf6CcG/
2,19.05.2001,Derby,Ipswich,1:1,3.50,3.30,1.96,1.0,premier-league-2000-2001,/soccer/england/premier-league-2000-2001/derby-ipswich/nNpWlpSr/
3,19.05.2001,Everton,Sunderland,2:2,2.50,3.10,2.50,1.0,premier-league-2000-2001,/soccer/england/premier-league-2000-2001/everton-sunderland/Gdkzl4sk/
4,19.05.2001,Leeds,Leicester,3:1,1.27,4.50,9.99,0.0,premier-league-2000-2001,/soccer/england/premier-league-2000-2001/leeds-leicester/fmlvmOde/
5,19.05.2001,Manchester City,Chelsea,1:2,3.30,3.00,1.70,2.0,premier-league-2000-2001,/soccer/england/premier-league-2000-2001/manchester-city-chelsea/xCwqnrC1/
6,19.05.2001,Middlesbrough,West Ham,2:1,2.00,3.50,3.30,0.0,premier-league-2000-2001,/soccer/england/premier-league-2000-2001/middlesbrough-west-ham/jFsmo2R7/
7,19.05.2001,Newcastle,Aston Villa,3:0,2.29,3.40,2.75,0.0,premier-league-2000-2001,/soccer/england/premier-league-2000-2001/newcastle-utd-aston-villa/8zfwAo48/
8,19.05.2001,Southampton,Arsenal,3:2,3.00,3.20,2.54,0.0,premier-league-2000-2001,/soccer/england/premier-league-2000-2001/southampton-arsenal/nRhs95JE/
9,19.05.2001,Tottenham,Manchester Utd,3:1,3.00,3.00,2.40,0.0,premier-league-2000-2001,/soccer/england/premier-league-2000-2001/tottenham-manchester-united/SxAv8PYK/
10,15.05.2001,Newcastle,Arsenal,0:0,3.30,3.10,2.15,1.0,premier-league-2000-2001,/soccer/england/premier-league-2000-2001/newcastle-utd-arsenal/QVjn8YS3/
11,13.05.2001,Leeds,Bradford City,6:1,1.27,5.50,9.00,0.0,premier-league-2000-2001,/soccer/england/premier-league-2000-2001/leeds-bradford-city/hIhvAfbi/
12,13.05.2001,Southampton,Manchester Utd,2:1,3.60,2.95,2.15,0.0,premier-league-2000-2001,/soccer/england/premier-league-2000-2001/southampton-manchester-united/W8ir9EDc/
13,08.05.2001,Liverpool,Chelsea,2:2,1.68,3.60,4.80,1.0,premier-league-2000-2001,/soccer/england/premier-league-2000-2001/liverpool-chelsea/CromoBLj/
14,07.05.2001,Ipswich,Manchester City,2:1,1.68,3.10,4.50,0.0,premier-league-2000-2001,/soccer/england/premier-league-2000-2001/ipswich-manchester-city/Yinqni6p/
15,05.05.2001,Arsenal,Leeds,2:1,1.95,3.40,4.20,0.0,premier-league-2000-2001,/soccer/england/premier-league-2000-2001/arsenal-leeds/xYvkYXyo/
16,05.05.2001,Aston Villa,Coventry,3:2,1.90,1.85,6.20,0.0,premier-league-2000-2001,/soccer/england/premier-league-2000-2001/aston-villa-coventry/fgiucHEo/
17,05.05.2001,Bradford City,Middlesbrough,1:1,3.30,3.00,2.20,1.0,premier-league-2000-2001,/soccer/england/premier-league-2000-2001/bradford-city-middlesbrough/8deqdyUi/
18,05.05.2001,Chelsea,Everton,2:1,1.53,4.00,6.20,0.0,premier-league-2000-2001,/soccer/england/premier-league-2000-2001/chelsea-everton/jLpleeqb/
19,05.05.2001,Leicester,Tottenham,4:2,2.40,3.00,3.00,0.0,premier-league-2000-2001,/soccer/england/premier-league-2000-2001/leicester-tottenham/UBqhfFb4/
20,05.05.2001,Liverpool,Newcastle,3:0,1.47,4.00,7.00,0.0,premier-league-2000-2001,/soccer/england/premier-league-2000-2001/liverpool-newcastle-utd/xxqdgZDA/
21,05.05.2001,Manchester Utd,Derby,0:1,1.42,4.09,5.60,2.0,premier-league-2000-2001,/soccer/england/premier-league-2000-2001/manchester-united-derby/Kp68hgTG/
22,05.05.2001,Sunderland,Charlton,3:2,2.04,3.20,3.60,0.0,premier-league-2000-2001,/soccer/england/premier-league-2000-2001/sunderland-charlton/29eDiDrN/
23,05.05.2001,West Ham,Southampton,3:0,2.04,3.20,3.60,0.0,premier-league-2000-2001,/soccer/england/premier-league-2000-2001/west-ham-southampton/GCaHjXcT/
24,01.05.2001,Newcastle,Southampton,1:1,1.79,3.30,4.09,1.0,premier-league-2000-2001,/soccer/england/premier-league-2000-2001/newcastle-utd-southampton/ImbIwfEN/
25,01.05.2001,Bradford City,Liverpool,0:2,6.00,3.70,1.59,2.0,premier-league-2000-2001,/soccer/england/premier-league-2000-2001/bradford-city-liverpool/zPhNxETT/
26,30.04.2001,Charlton,Ipswich,2:1,2.80,3.10,2.80,0.0,premier-league-2000-2001,/soccer/england/premier-league-2000-2001/charlton-ipswich/vcaEvzaH/
27,28.04.2001,Coventry,Liverpool,0:2,3.90,3.00,1.95,2.0,premier-league-2000-2001,/soccer/england/premier-league-2000-2001/coventry-liverpool/bZJXRGUH/
28,28.04.2001,Derby,Arsenal,1:2,3.90,3.00,1.95,2.0,premier-league-2000-2001,/soccer/england/premier-league-2000-2001/derby-arsenal/hdJyRzpO/
29,28.04.2001,Everton,Bradford City,2:1,1.61,3.30,6.00,0.0,premier-league-2000-2001,/soccer/england/premier-league-2000-2001/everton-bradford-city/6aNuQfaU/
30,28.04.2001,Leeds,Chelsea,2:0,1.95,3.30,4.09,0.0,premier-league-2000-2001,/soccer/england/premier-league-2000-2001/leeds-chelsea/zuDfovVu/
31,28.04.2001,Manchester City,West Ham,1:0,2.20,3.00,3.10,0.0,premier-league-2000-2001,/soccer/england/premier-league-2000-2001/manchester-city-west-ham/EVBbpbpn/
32,28.04.2001,Middlesbrough,Manchester Utd,0:2,3.15,3.10,2.20,2.0,premier-league-2000-2001,/soccer/england/premier-league-2000-2001/middlesbrough-manchester-united/r5G2qIah/
33,28.04.2001,Newcastle,Leicester,1:0,1.84,3.40,4.50,0.0,premier-league-2000-2001,/soccer/england/premier-league-2000-2001/newcastle-utd-leicester/MeF6rxFb/
34,28.04.2001,Southampton,Sunderland,0:1,2.29,3.20,3.00,2.0,premier-league-2000-2001,/soccer/england/premier-league-2000-2001/southampton-sunderland/4K4BsdU4/
35,28.04.2001,Tottenham,Aston Villa,0:0,2.29,2.95,2.85,1.0,premier-league-2000-2001,/soccer/england/premier-league-2000-2001/tottenham-aston-villa/pz0AuGqB/
36,22.04.2001,Liverpool,Tottenham,3:1,1.55,3.60,3.50,0.0,premier-league-2000-2001,/soccer/england/premier-league-2000-2001/liverpool-tottenham/KrLTSdFB/
37,21.04.2001,Arsenal,Everton,4:1,1.48,3.10,7.00,0.0,premier-league-2000-2001,/soccer/england/premier-league-2000-2001/arsenal-everton/niWoEc0I/
38,21.04.2001,Aston Villa,Southampton,0:0,1.84,3.10,4.20,1.0,premier-league-2000-2001,/soccer/england/premier-league-2000-2001/aston-villa-southampton/QsVkDHFO/
39,21.04.2001,Bradford City,Derby,2:0,2.60,3.00,2.60,0.0,premier-league-2000-2001,/soccer/england/premier-league-2000-2001/bradford-city-derby/IFntx1hP/
